date,rainfall_departure_pct
1949-02-01,23.39
1949-03-01,-21.85
1949-04-01,47.96
1949-05-01,53.45
1949-06-01,-0.18
1949-07-01,19.19
1949-08-01,-2.54
1949-09-01,37.84
1949-10-01,16.75
1949-11-01,-65.51
1949-12-01,-76.65
1950-01-01,51.36
1950-02-01,12.78
1950-03-01,22.75
1950-04-01,-25.91
1950-05-01,-18.38
1950-06-01,-13.71
1950-07-01,18.89
1950-08-01,-8.96
1950-09-01,27.17
1950-10-01,-22.15
1950-11-01,-22.85
1950-12-01,-25.45
1951-01-01,-2.13
1951-02-01,-51.22
1951-03-01,47.32
1951-04-01,45.84
1951-05-01,-11.21
1951-06-01,3.46
1951-07-01,-1.71
1951-08-01,-20.14
1951-09-01,-21.81
1951-10-01,4.47
1951-11-01,7.57
1951-12-01,-4.36
1952-01-01,-42.46
1952-02-01,-13.45
1952-03-01,32.03
1952-04-01,-10.07
1952-05-01,12.37
1952-06-01,1.87
1952-07-01,-4.53
1952-08-01,-0.64
1952-09-01,-30.73
1952-10-01,16.7
1952-11-01,-57.77
1952-12-01,23.44
1953-01-01,78.11
1953-02-01,-39.4
1953-03-01,-7.45
1953-04-01,2.11
1953-05-01,-28.01
1953-06-01,-3.06
1953-07-01,22.33
1953-08-01,5.25
1953-09-01,3.14
1953-10-01,22.24
1953-11-01,-49.9
1953-12-01,-51.14
1954-01-01,104.67
1954-02-01,57.14
1954-03-01,-32.92
1954-04-01,-31.74
1954-05-01,-11.82
1954-06-01,-0.52
1954-07-01,12.85
1954-08-01,-1.72
1954-09-01,40.16
1954-10-01,0.33
1954-11-01,-84.47
1954-12-01,-1.35
1955-01-01,43.55
1955-02-01,-70.81
1955-03-01,-14.23
1955-04-01,-9.47
1955-05-01,35.4
1955-06-01,9.0
1955-07-01,-12.88
1955-08-01,17.89
1955-09-01,27.22
1955-10-01,88.27
1955-11-01,-0.36
1955-12-01,-48.09
1956-01-01,6.46
1956-02-01,-44.5
1956-03-01,10.28
1956-04-01,-9.2
1956-05-01,51.96
1956-06-01,22.44
1956-07-01,17.74
1956-08-01,-3.71
1956-09-01,-2.44
1956-10-01,87.65
1956-11-01,26.76
1956-12-01,-29.65
1957-01-01,137.03
1957-02-01,-36.94
1957-03-01,-4.66
1957-04-01,-14.99
1957-05-01,6.79
1957-06-01,-1.63
1957-07-01,9.18
1957-08-01,5.93
1957-09-01,-20.65
1957-10-01,-10.99
1957-11-01,-7.13
1957-12-01,-9.98
1958-01-01,-14.81
1958-02-01,-24.62
1958-03-01,-39.74
1958-04-01,-9.81
1958-05-01,23.96
1958-06-01,-12.25
1958-07-01,8.72
1958-08-01,29.94
1958-09-01,25.15
1958-10-01,38.15
1958-11-01,-2.86
1958-12-01,-8.79
1959-01-01,90.31
1959-02-01,13.65
1959-03-01,-20.79
1959-04-01,-23.15
1959-05-01,20.63
1959-06-01,6.7
1959-07-01,33.66
1959-08-01,-0.68
1959-09-01,41.35
1959-10-01,48.79
1959-11-01,-16.88
1959-12-01,-50.81
1960-01-01,-1.66
1960-02-01,-74.3
1960-03-01,14.83
1960-04-01,-39.08
1960-05-01,26.13
1960-06-01,-4.93
1960-07-01,11.79
1960-08-01,-9.27
1960-09-01,18.21
1960-10-01,-9.25
1960-11-01,17.98
1960-12-01,-42.58
1961-01-01,71.38
1961-02-01,85.33
1961-03-01,-0.68
1961-04-01,-25.79
1961-05-01,66.16
1961-06-01,14.52
1961-07-01,23.3
1961-08-01,14.37
1961-09-01,32.45
1961-10-01,50.8
1961-11-01,-28.72
1961-12-01,-15.55
1962-01-01,12.57
1962-02-01,-2.28
1962-03-01,-43.95
1962-04-01,7.58
1962-05-01,29.59
1962-06-01,-21.34
1962-07-01,3.08
1962-08-01,14.87
1962-09-01,26.88
1962-10-01,8.26
1962-11-01,-47.83
1962-12-01,126.65
1963-01-01,-26.02
1963-02-01,-40.81
1963-03-01,24.52
1963-04-01,17.07
1963-05-01,-6.07
1963-06-01,-3.72
1963-07-01,-4.36
1963-08-01,32.14
1963-09-01,0.24
1963-10-01,23.72
1963-11-01,-19.7
1963-12-01,8.12
1964-01-01,-3.16
1964-02-01,-35.88
1964-03-01,-34.51
1964-04-01,-1.27
1964-05-01,-15.32
1964-06-01,1.85
1964-07-01,20.84
1964-08-01,8.59
1964-09-01,26.09
1964-10-01,-8.91
1964-11-01,-10.56
1964-12-01,-22.05
1965-01-01,-40.24
1965-02-01,24.99
1965-03-01,-4.74
1965-04-01,-0.65
1965-05-01,-20.15
1965-06-01,-21.32
1965-07-01,-2.77
1965-08-01,-16.97
1965-09-01,-21.08
1965-10-01,-53.59
1965-11-01,-37.44
1965-12-01,156.76
1966-01-01,-9.32
1966-02-01,-8.04
1966-03-01,-37.19
1966-04-01,-27.01
1966-05-01,-10.7
1966-06-01,-5.54
1966-07-01,-5.19
1966-08-01,-18.22
1966-09-01,-5.94
1966-10-01,-20.46
1966-11-01,71.62
1966-12-01,51.15
1967-01-01,-8.79
1967-02-01,-46.47
1967-03-01,104.33
1967-04-01,-28.38
1967-05-01,-19.2
1967-06-01,-12.86
1967-07-01,14.09
1967-08-01,0.7
1967-09-01,-4.45
1967-10-01,-35.11
1967-11-01,-63.8
1967-12-01,174.52
1968-01-01,67.18
1968-02-01,-9.02
1968-03-01,1.2
1968-04-01,-11.9
1968-05-01,-30.63
1968-06-01,-2.92
1968-07-01,17.28
1968-08-01,-21.11
1968-09-01,-15.93
1968-10-01,-11.26
1968-11-01,-30.88
1968-12-01,-17.46
1969-01-01,-11.28
1969-02-01,-44.99
1969-03-01,-32.87
1969-04-01,-3.39
1969-05-01,-2.35
1969-06-01,-18.53
1969-07-01,10.07
1969-08-01,2.55
1969-09-01,11.85
1969-10-01,-29.4
1969-11-01,23.91
1969-12-01,-1.39
1970-01-01,51.36
1970-02-01,27.95
1970-03-01,-23.45
1970-04-01,-19.16
1970-05-01,13.26
1970-06-01,18.38
1970-07-01,-3.89
1970-08-01,25.23
1970-09-01,24.62
1970-10-01,-0.2
1970-11-01,-27.99
1970-12-01,-57.52
1971-01-01,6.93
1971-02-01,3.57
1971-03-01,-55.78
1971-04-01,33.18
1971-05-01,28.71
1971-06-01,30.62
1971-07-01,-5.97
1971-08-01,5.12
1971-09-01,-6.06
1971-10-01,25.67
1971-11-01,-44.91
1971-12-01,-3.42
1972-01-01,-47.28
1972-02-01,16.11
1972-03-01,-39.91
1972-04-01,-1.48
1972-05-01,-5.46
1972-06-01,-21.88
1972-07-01,-20.91
1972-08-01,-20.6
1972-09-01,-22.69
1972-10-01,-13.18
1972-11-01,7.55
1972-12-01,34.16
1973-01-01,8.17
1973-02-01,-4.18
1973-03-01,-36.86
1973-04-01,-29.18
1973-05-01,-7.5
1973-06-01,-6.23
1973-07-01,-8.15
1973-08-01,16.22
1973-09-01,1.81
1973-10-01,34.93
1973-11-01,-20.79
1973-12-01,41.24
1974-01-01,-17.27
1974-02-01,-49.11
1974-03-01,-25.02
1974-04-01,7.06
1974-05-01,3.83
1974-06-01,-27.78
1974-07-01,7.7
1974-08-01,-4.99
1974-09-01,-5.03
1974-10-01,25.84
1974-11-01,-48.5
1974-12-01,-40.71
1975-01-01,36.81
1975-02-01,-12.69
1975-03-01,-15.45
1975-04-01,-26.81
1975-05-01,-13.57
1975-06-01,11.77
1975-07-01,4.94
1975-08-01,9.6
1975-09-01,38.82
1975-10-01,50.93
1975-11-01,-2.56
1975-12-01,-63.01
1976-01-01,-44.11
1976-02-01,0.85
1976-03-01,-18.49
1976-04-01,2.31
1976-05-01,-20.12
1976-06-01,-10.06
1976-07-01,6.17
1976-08-01,11.75
1976-09-01,-16.89
1976-10-01,-50.87
1976-11-01,74.58
1976-12-01,-11.92
1977-01-01,14.49
1977-02-01,-43.78
1977-03-01,-44.55
1977-04-01,67.25
1977-05-01,28.29
1977-06-01,6.66
1977-07-01,15.27
1977-08-01,-6.92
1977-09-01,-11.04
1977-10-01,14.53
1977-11-01,103.07
1977-12-01,-8.04
1978-01-01,-17.26
1978-02-01,20.34
1978-03-01,41.87
1978-04-01,-10.95
1978-05-01,13.8
1978-06-01,28.03
1978-07-01,2.67
1978-08-01,6.05
1978-09-01,-3.1
1978-10-01,-32.94
1978-11-01,53.79
1978-12-01,-0.95
1979-01-01,28.08
1979-02-01,48.85
1979-03-01,-13.13
1979-04-01,-44.74
1979-05-01,-34.09
1979-06-01,-16.35
1979-07-01,-10.04
1979-08-01,-19.22
1979-09-01,-14.23
1979-10-01,-28.82
1979-11-01,110.58
1979-12-01,-15.09
1980-01-01,-29.49
1980-02-01,-13.1
1980-03-01,11.37
1980-04-01,-5.35
1980-05-01,-1.1
1980-06-01,27.44
1980-07-01,5.5
1980-08-01,8.5
1980-09-01,-17.57
1980-10-01,-28.27
1980-11-01,-23.0
1980-12-01,81.72
1981-01-01,60.22
1981-02-01,-9.34
1981-03-01,52.95
1981-04-01,-0.99
1981-05-01,3.24
1981-06-01,0.97
1981-07-01,6.28
1981-08-01,-0.7
1981-09-01,14.75
1981-10-01,-38.41
1981-11-01,-2.99
1981-12-01,7.18
1982-01-01,30.25
1982-02-01,-0.12
1982-03-01,54.84
1982-04-01,24.59
1982-05-01,-15.5
1982-06-01,-13.99
1982-07-01,-12.11
1982-08-01,9.55
1982-09-01,-25.61
1982-10-01,-37.24
1982-11-01,31.6
1982-12-01,-27.87
1983-01-01,11.35
1983-02-01,3.86
1983-03-01,29.41
1983-04-01,28.79
1983-05-01,0.12
1983-06-01,-11.84
1983-07-01,0.78
1983-08-01,24.73
1983-09-01,51.02
1983-10-01,3.22
1983-11-01,-50.23
1983-12-01,38.88
1984-01-01,31.22
1984-02-01,83.16
1984-03-01,-12.62
1984-04-01,17.79
1984-05-01,-10.9
1984-06-01,15.58
1984-07-01,3.78
1984-08-01,-9.98
1984-09-01,-14.04
1984-10-01,-7.84
1984-11-01,-47.02
1984-12-01,38.45
1985-01-01,26.5
1985-02-01,-54.11
1985-03-01,-22.02
1985-04-01,-6.3
1985-05-01,-2.56
1985-06-01,3.79
1985-07-01,-3.53
1985-08-01,-9.13
1985-09-01,-12.35
1985-10-01,35.94
1985-11-01,-36.52
1985-12-01,44.77
1986-01-01,-17.91
1986-02-01,42.75
1986-03-01,-17.47
1986-04-01,11.21
1986-05-01,-25.72
1986-06-01,4.8
1986-07-01,-17.05
1986-08-01,-8.8
1986-09-01,-17.44
1986-10-01,-10.89
1986-11-01,35.44
1986-12-01,32.51
1987-01-01,-13.02
1987-02-01,-12.0
1987-03-01,-11.42
1987-04-01,1.31
1987-05-01,-14.54
1987-06-01,-16.94
1987-07-01,-24.76
1987-08-01,3.54
1987-09-01,-9.4
1987-10-01,15.9
1987-11-01,33.7
1987-12-01,83.03
1988-01-01,-56.88
1988-02-01,20.0
1988-03-01,69.25
1988-04-01,9.91
1988-05-01,8.64
1988-06-01,-10.07
1988-07-01,32.39
1988-08-01,20.6
1988-09-01,39.71
1988-10-01,-29.88
1988-11-01,-18.12
1988-12-01,0.49
1989-01-01,4.79
1989-02-01,-36.81
1989-03-01,-8.99
1989-04-01,-14.3
1989-05-01,-11.78
1989-06-01,9.37
1989-07-01,4.54
1989-08-01,-7.38
1989-09-01,1.25
1989-10-01,-22.87
1989-11-01,-31.03
1989-12-01,-16.65
1990-01-01,-27.55
1990-02-01,87.01
1990-03-01,68.56
1990-04-01,4.38
1990-05-01,77.81
1990-06-01,7.34
1990-07-01,0.69
1990-08-01,16.89
1990-09-01,10.81
1990-10-01,23.7
1990-11-01,6.62
1990-12-01,28.02
1991-01-01,-23.19
1991-02-01,-0.99
1991-03-01,-9.63
1991-04-01,16.61
1991-05-01,-1.6
1991-06-01,15.28
1991-07-01,4.49
1991-08-01,2.31
1991-09-01,-15.76
1991-10-01,-14.98
1991-11-01,-15.8
1991-12-01,8.21
1992-01-01,13.19
1992-02-01,-13.88
1992-03-01,-24.66
1992-04-01,-45.34
1992-05-01,-14.57
1992-06-01,-11.74
1992-07-01,-3.81
1992-08-01,13.85
1992-09-01,-5.1
1992-10-01,-15.85
1992-11-01,22.4
1992-12-01,-73.77
1993-01-01,-0.78
1993-02-01,5.48
1993-03-01,38.06
1993-04-01,-29.65
1993-05-01,-0.95
1993-06-01,-6.1
1993-07-01,12.64
1993-08-01,-17.34
1993-09-01,20.88
1993-10-01,22.32
1993-11-01,-1.86
1993-12-01,4.08
1994-01-01,31.84
1994-02-01,28.69
1994-03-01,3.79
1994-04-01,24.5
1994-05-01,-17.87
1994-06-01,15.61
1994-07-01,21.28
1994-08-01,7.04
1994-09-01,-9.35
1994-10-01,8.08
1994-11-01,-15.21
1994-12-01,-31.89
1995-01-01,105.61
1995-02-01,21.22
1995-03-01,-9.31
1995-04-01,-5.96
1995-05-01,20.97
1995-06-01,-13.58
1995-07-01,15.06
1995-08-01,8.49
1995-09-01,14.48
1995-10-01,-0.45
1995-11-01,30.03
1995-12-01,-57.83
1996-01-01,31.44
1996-02-01,0.71
1996-03-01,-2.49
1996-04-01,-18.47
1996-05-01,-17.46
1996-06-01,3.88
1996-07-01,-2.22
1996-08-01,7.73
1996-09-01,-4.05
1996-10-01,23.35
1996-11-01,-47.8
1996-12-01,33.63
1997-01-01,-21.56
1997-02-01,-54.77
1997-03-01,-0.8
1997-04-01,3.78
1997-05-01,-29.49
1997-06-01,-0.62
1997-07-01,9.36
1997-08-01,4.84
1997-09-01,-9.22
1997-10-01,-26.67
1997-11-01,70.06
1997-12-01,172.1
1998-01-01,-4.05
1998-02-01,27.53
1998-03-01,50.22
1998-04-01,-6.51
1998-05-01,-17.66
1998-06-01,5.29
1998-07-01,2.61
